"","Partner","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","Contract","MonthlyCharges","TotalCharges","Churn"
"864","No",3,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",95.1,307.4,"Yes"
"865","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.65,2104.55,"Yes"
"866","Yes",4,"Yes","No","Fiber optic","No","No","Yes","Yes","Month-to-month",80.6,319.15,"Yes"
"867","Yes",62,"No","No phone service","DSL","No","No","No","Yes","Two year",39,2337.45,"No"
"868","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.5,104.3,"No"
"869","Yes",59,"Yes","Yes","Fiber optic","No","No","No","No","One year",85.55,5084.65,"Yes"
"870","No",3,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",26.4,121.25,"No"
"871","Yes",72,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Two year",98.2,7015.9,"No"
"872","Yes",57,"Yes","No","Fiber optic","No","Yes","Yes","No","One year",97.55,5598,"No"
"873","No",66,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.95,1269.1,"No"
"874","No",60,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",50.8,3027.4,"Yes"
"875","No",45,"Yes","Yes","Fiber optic","No","No","Yes","No","Two year",99.7,4634.35,"No"
"876","No",3,"No","No phone service","DSL","No","No","No","No","Month-to-month",34.8,113.95,"No"
"877","No",15,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Month-to-month",105.1,1582.75,"Yes"
"878","No",51,"No","No phone service","DSL","Yes","No","Yes","Yes","One year",60.15,3077,"No"
"879","No",60,"Yes","Yes","DSL","Yes","No","Yes","Yes","One year",64.75,4039.5,"No"
"880","No",33,"Yes","Yes","DSL","No","Yes","No","No","Month-to-month",54.65,1665.2,"No"
"881","No",10,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Month-to-month",110.1,1043.3,"Yes"
"882","No",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.3,504.2,"No"
"883","No",6,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",83.9,497.55,"Yes"
"884","Yes",67,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","One year",111.25,7511.65,"No"
"885","Yes",49,"No","No phone service","DSL","Yes","No","No","Yes","One year",35.8,1782,"No"
"886","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.05,20.05,"No"
"887","No",7,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",84.35,609.65,"No"
"888","No",27,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","One year",110.5,2857.6,"No"
"889","Yes",37,"Yes","No","Fiber optic","No","No","No","No","One year",91.2,3247.55,"No"
"890","Yes",63,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Month-to-month",100.55,6215.35,"Yes"
"891","Yes",31,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Month-to-month",89.3,2823,"No"
"892","Yes",50,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",103.85,5017.9,"Yes"
"893","No",32,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",81.1,2619.25,"No"
"894","No",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",24.6,24.6,"Yes"
"895","Yes",63,"Yes","Yes","Fiber optic","No","No","No","Yes","One year",81.2,4965.1,"No"
"896","No",30,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",94.3,2679.7,"No"
"897","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",116.1,8310.55,"No"
"898","No",53,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Two year",105.55,5682.25,"No"
"899","No",12,"Yes","No","Fiber optic","Yes","No","No","Yes","Month-to-month",98.9,1120.95,"Yes"
"900","Yes",50,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",94.4,4914.9,"No"
"901","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.5,27.55,"No"
"902","No",9,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",98.3,923.5,"Yes"
"903","No",17,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",93.85,1625.65,"Yes"
"904","Yes",56,"Yes","No","Fiber optic","Yes","Yes","Yes","No","One year",105.6,6068.65,"No"
"905","Yes",67,"Yes","No","DSL","Yes","Yes","Yes","No","Two year",81.35,5398.6,"No"
"906","No",9,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",100.5,918.6,"Yes"
"907","No",4,"Yes","No","DSL","No","No","No","No","Month-to-month",56.4,234.85,"No"
"908","No",19,"Yes","No","DSL","No","Yes","No","Yes","One year",65.35,1231.85,"No"
"909","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.95,170.9,"No"
"910","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",111.25,7984.15,"No"
"911","No",10,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",72.85,688.65,"Yes"
"912","No",15,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",89,1288.3,"No"
"913","Yes",72,"Yes","Yes","Fiber optic","Yes","No","Yes","No","One year",106.1,7848.5,"No"
"914","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.05,267,"No"
"915","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.2,1798.9,"No"
"916","Yes",1,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",73.55,73.55,"Yes"
"917","No",23,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",75.4,1643.55,"No"
"918","No",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",65.55,4807.45,"No"
"919","No",26,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",80.7,2193,"No"
"920","No",21,"Yes","No","Fiber optic","No","Yes","Yes","Yes","One year",104.55,2239.4,"No"
"921","Yes",60,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",24.15,1505.9,"No"
"922","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.45,255.35,"No"
"923","Yes",16,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",75.4,1189.4,"No"
"924","Yes",63,"Yes","Yes","DSL","Yes","Yes","No","No","One year",79.7,4786.15,"No"
"925","No",22,"Yes","No","Fiber optic","Yes","Yes","No","No","Month-to-month",81.7,1820.9,"No"
"926","Yes",32,"Yes","No","DSL","Yes","Yes","Yes","Yes","Month-to-month",76.3,2404.15,"No"
"927","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",79.4,205.05,"Yes"
"928","No",13,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",81.15,952.3,"Yes"
"929","Yes",68,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Two year",103.75,7039.45,"No"
"930","Yes",30,"Yes","No","Fiber optic","No","No","Yes","No","One year",86.45,2538.05,"No"
"931","No",16,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",75.1,1212.85,"No"
"932","No",33,"Yes","No","Fiber optic","No","Yes","No","Yes","Two year",80.6,2651.1,"No"
"933","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.3,1304.8,"No"
"934","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.6,360.1,"Yes"
"935","No",12,"No","No phone service","DSL","Yes","No","No","Yes","One year",33.6,435.45,"No"
"936","Yes",4,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",83.25,308.05,"No"
"938","No",6,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",79.05,434.5,"Yes"
"939","Yes",65,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","One year",108.05,7118.9,"No"
"940","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.9,320.45,"No"
"941","No",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",21.05,531.55,"No"
"942","No",13,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",30.15,382.2,"No"
"943","No",24,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",79.85,2001,"No"
"944","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",65.5,4919.7,"No"
"945","Yes",54,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",104.1,5645.8,"No"
"946","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.4,215.8,"Yes"
"947","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.5,77.6,"No"
"948","Yes",32,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",91.35,2896.55,"No"
"949","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",99.05,3395.8,"Yes"
"950","Yes",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.5,759.35,"No"
"951","No",2,"Yes","No","DSL","No","No","No","No","Month-to-month",44.95,85.15,"Yes"
"952","No",8,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",75.6,535.55,"No"
"953","No",22,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",55.1,1253.15,"No"
"954","No",15,"Yes","No","DSL","Yes","No","Yes","Yes","Month-to-month",58.95,955.15,"No"
"955","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",95.1,2162.6,"No"
"956","Yes",1,"Yes","No","DSL","No","No","No","No","Month-to-month",44.7,44.7,"Yes"
"957","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.45,1813.35,"No"
"958","No",4,"Yes","No","DSL","Yes","No","Yes","No","Month-to-month",56.75,245.15,"No"
"959","No",25,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Month-to-month",81.75,2028.8,"No"
"960","Yes",32,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",86.1,2723.75,"No"
"961","Yes",7,"No","No phone service","DSL","Yes","No","No","No","Month-to-month",29.8,220.45,"No"
"962","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.5,365.8,"No"
"963","Yes",8,"Yes","No","DSL","Yes","No","No","No","Month-to-month",60.9,551.95,"No"
"964","No",56,"Yes","Yes","DSL","Yes","No","Yes","Yes","Two year",73.25,4054.2,"No"
"965","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",45.7,45.7,"Yes"
"966","No",8,"Yes","No","Fiber optic","Yes","No","No","Yes","Month-to-month",100.3,832.35,"Yes"
"967","No",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.25,112.3,"Yes"
"968","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.85,60.65,"No"
"969","No",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Two year",77.35,5550.1,"No"
"970","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",96,174.8,"Yes"
"971","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",90.55,90.55,"Yes"
"972","Yes",49,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",93.85,4733.1,"No"
"973","No",58,"Yes","No","DSL","No","Yes","Yes","Yes","Two year",70.1,4048.95,"No"
"974","Yes",44,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",30.35,1359.7,"Yes"
"975","Yes",59,"Yes","No","DSL","No","Yes","No","Yes","Two year",75.95,4542.35,"No"
"976","No",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Two year",108.05,7532.15,"Yes"
"977","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.9,69.9,"Yes"
"978","No",11,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",75.25,888.65,"No"
"979","Yes",62,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",103.75,6383.35,"Yes"
"980","Yes",35,"Yes","No","DSL","Yes","No","No","Yes","One year",54.95,1916,"No"
"981","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.5,413,"No"
"982","Yes",40,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.6,808.95,"No"
"983","No",39,"Yes","No","DSL","Yes","No","No","No","One year",47.85,1886.4,"No"
"984","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",86.6,86.6,"Yes"
"985","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",23.75,1679.25,"No"
"986","Yes",33,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",80.6,2656.5,"Yes"
"987","No",12,"Yes","No","DSL","No","No","No","No","Month-to-month",43.8,540.95,"No"
"988","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.75,19.75,"No"
"989","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.15,537.35,"No"
"990","Yes",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.6,678.8,"No"
"991","Yes",56,"Yes","No","Fiber optic","Yes","No","Yes","No","Two year",80.3,4513.65,"No"
"992","No",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.35,1423.85,"No"
"993","Yes",22,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.25,555.4,"No"
"994","Yes",10,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",26.1,225.55,"No"
"995","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20,268.45,"No"
"996","No",35,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Month-to-month",85.3,2917.5,"Yes"
"997","No",34,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70,2416.1,"Yes"
"998","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.3,424.45,"Yes"
"999","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.7,1492.1,"No"
"1000","No",2,"Yes","No","DSL","No","No","No","Yes","Month-to-month",70.3,132.4,"No"
"1001","No",7,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",95.35,660.9,"Yes"
"1002","Yes",27,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",75.5,1893.95,"Yes"
"1003","Yes",4,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.55,284.9,"No"
"1004","No",37,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.85,784.25,"No"
"1005","No",21,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20,417.7,"No"
"1006","Yes",53,"Yes","Yes","Fiber optic","No","No","No","No","One year",95.85,5016.25,"No"
"1007","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Month-to-month",90.1,1612.75,"Yes"
"1008","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",68.95,119.75,"Yes"
"1009","Yes",32,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",99.55,3204.65,"Yes"
"1010","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.75,485.2,"No"
"1011","No",3,"Yes","No","DSL","Yes","No","No","No","Month-to-month",50.15,160.85,"No"
"1012","Yes",71,"No","No phone service","DSL","Yes","Yes","No","Yes","Two year",58.65,4145.25,"No"
"1013","No",9,"Yes","No","Fiber optic","No","No","No","Yes","Month-to-month",95.9,827.45,"No"
"1014","No",1,"Yes","No","DSL","No","Yes","No","No","Month-to-month",49.5,49.5,"No"
"1015","Yes",18,"Yes","No","DSL","No","No","Yes","No","Month-to-month",57.45,990.85,"Yes"
"1016","Yes",12,"Yes","No","DSL","No","No","No","No","One year",53.65,696.35,"Yes"
"1017","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",80.1,5585.4,"No"
"1018","No",64,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",24.4,1601.2,"No"
"1019","No",4,"No","No phone service","DSL","No","No","No","Yes","Month-to-month",40.05,162.45,"No"
"1020","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.5,470.2,"No"
"1021","Yes",39,"Yes","No","DSL","Yes","No","No","No","Month-to-month",51.05,2066,"No"
"1022","Yes",28,"Yes","No","DSL","Yes","No","No","Yes","One year",54.35,1426.45,"No"
"1023","No",5,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",84.7,392.5,"No"
"1024","Yes",45,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",86.1,3861.45,"No"
"1025","No",37,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.35,2552.9,"No"
"1026","Yes",60,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Two year",110,6668.35,"No"
"1027","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",100.6,819.4,"Yes"
"1028","No",47,"Yes","Yes","Fiber optic","Yes","No","Yes","No","One year",94.9,4615.25,"No"
"1029","Yes",26,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",83.75,2070.6,"Yes"
"1030","Yes",3,"Yes","No","Fiber optic","Yes","No","No","Yes","Month-to-month",88.3,273.75,"Yes"
"1031","Yes",50,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.75,3557.7,"No"
"1032","Yes",27,"Yes","Yes","DSL","No","No","No","Yes","Month-to-month",71.6,1957.1,"No"
"1033","No",8,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",92.1,729.95,"Yes"
"1034","Yes",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",23.65,1416.75,"No"
"1035","Yes",71,"Yes","No","DSL","Yes","No","Yes","Yes","Two year",81.85,5924.4,"No"
"1036","No",66,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.1,1697.7,"No"
"1037","Yes",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",114.7,7849.85,"No"
"1038","No",13,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",49.15,649.4,"No"
"1039","Yes",56,"Yes","No","Fiber optic","No","No","No","No","One year",80.9,4557.5,"No"
"1040","Yes",38,"Yes","No","Fiber optic","Yes","Yes","No","No","Month-to-month",79.45,3013.05,"Yes"
"1041","No",14,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",90.45,1266.1,"Yes"
"1042","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.3,360.35,"No"
"1043","Yes",14,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.2,1046.5,"No"
"1044","Yes",32,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.75,2347.9,"Yes"
"1045","No",8,"Yes","No","DSL","Yes","No","No","Yes","One year",54.25,447.75,"No"
"1046","Yes",43,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",99.3,4209.95,"No"
"1047","No",52,"Yes","Yes","DSL","Yes","No","Yes","Yes","One year",74,3877.65,"No"
"1048","No",3,"Yes","No","DSL","No","No","No","Yes","Month-to-month",50.25,152.3,"No"
"1049","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.8,572.2,"No"
"1050","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.65,19.65,"Yes"
"1051","No",12,"No","No phone service","DSL","No","No","Yes","Yes","Month-to-month",43.65,526.95,"Yes"
"1052","Yes",16,"No","No phone service","DSL","No","No","No","No","Month-to-month",35.5,552.7,"No"
"1053","No",40,"Yes","Yes","DSL","No","No","Yes","Yes","One year",80.75,3208.65,"No"
"1054","No",5,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",39.5,210.75,"Yes"
"1055","Yes",40,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",97.1,3706.95,"Yes"
"1056","No",36,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.55,620.75,"No"
"1057","No",5,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80,412.5,"Yes"
"1058","No",10,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",84.7,832.05,"Yes"
"1059","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",89.55,185.55,"Yes"
"1060","No",23,"Yes","Yes","Fiber optic","No","No","No","Yes","Month-to-month",90.6,1943.2,"Yes"
"1061","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.05,505.9,"No"
"1062","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Two year",112.4,8046.85,"No"
"1063","Yes",34,"Yes","No","DSL","No","No","No","Yes","Month-to-month",50.2,1815.3,"No"
"1064","No",10,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",62.25,612.95,"No"
"1065","No",14,"Yes","No","DSL","Yes","No","No","Yes","One year",55.7,795.15,"No"
"1066","No",23,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",90.05,2169.8,"Yes"
"1067","Yes",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.65,973.1,"No"
"1068","Yes",24,"Yes","No","Fiber optic","Yes","No","No","Yes","Month-to-month",89.25,2210.2,"No"
"1069","Yes",49,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",99.05,4853.75,"Yes"
"1070","No",20,"Yes","No","DSL","Yes","No","No","Yes","One year",54,1055.9,"No"
"1071","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.75,144.55,"Yes"
"1072","No",2,"Yes","No","DSL","No","Yes","No","No","Month-to-month",49.05,91.1,"Yes"
"1073","No",22,"No","No phone service","DSL","No","No","Yes","Yes","Two year",56.75,1304.85,"No"
"1074","No",7,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",98.05,713,"Yes"
"1075","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",21.1,21.1,"No"
"1076","Yes",59,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Month-to-month",96.65,5580.8,"No"
"1077","Yes",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",24.5,1497.9,"No"
"1078","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Month-to-month",114.5,4527.45,"Yes"
"1079","No",59,"Yes","Yes","Fiber optic","No","Yes","No","No","Two year",79.2,4590.35,"No"
"1080","Yes",3,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.55,200.2,"No"
"1081","No",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.05,614.45,"No"
"1082","Yes",46,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",98.85,4564.9,"No"
"1084","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80.95,171.15,"Yes"
"1085","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.6,1012.4,"No"
"1086","No",13,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",74.3,940.35,"Yes"
"1087","No",11,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",89.7,1047.7,"Yes"
"1088","No",32,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Month-to-month",87.65,2766.4,"No"
"1089","Yes",17,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",100.45,1622.45,"Yes"
"1090","No",16,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.75,1129.35,"No"
"1091","No",51,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","One year",107.45,5680.9,"No"
"1092","No",29,"Yes","No","DSL","No","No","Yes","Yes","One year",75.35,2243.9,"No"
"1093","Yes",70,"Yes","No","DSL","Yes","Yes","Yes","Yes","Two year",64.95,4523.25,"No"
"1094","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Two year",100.45,7159.7,"No"
"1095","Yes",41,"Yes","Yes","DSL","No","Yes","Yes","No","One year",68.5,2839.95,"No"
"1096","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80.55,80.55,"No"
"1097","Yes",7,"Yes","No","DSL","Yes","No","Yes","Yes","Month-to-month",81.25,580.1,"No"
"1098","Yes",25,"Yes","No","Fiber optic","No","No","No","No","One year",90.4,2178.6,"Yes"
"1099","Yes",67,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","One year",89.55,6038.55,"No"
"1100","Yes",5,"Yes","Yes","DSL","No","No","No","Yes","Month-to-month",55.7,259.4,"No"
"1101","No",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",24.8,324.15,"No"
"1102","Yes",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20,417.65,"No"
"1103","Yes",3,"Yes","No","DSL","No","Yes","Yes","No","Month-to-month",56.15,168.15,"Yes"
"1104","Yes",54,"Yes","Yes","Fiber optic","No","Yes","No","Yes","One year",105.2,5637.85,"No"
"1105","No",42,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.55,839.4,"No"
"1106","Yes",9,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",79.75,769.1,"No"
"1107","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","Two year",97.45,6253,"No"
"1108","Yes",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.25,1641.8,"No"
"1109","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.6,1678.05,"No"
"1110","Yes",40,"Yes","No","DSL","No","Yes","No","No","Month-to-month",50.15,2058.5,"No"
"1111","No",60,"No","No phone service","DSL","Yes","Yes","Yes","No","Two year",39.6,2424.5,"No"
"1112","No",4,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Month-to-month",94.4,387.2,"Yes"
"1113","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",89.85,6293.45,"No"
"1114","Yes",37,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",78.95,2839.65,"Yes"
"1115","Yes",32,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",98.85,3145.9,"No"
"1116","No",39,"Yes","Yes","DSL","No","No","No","Yes","Two year",53.85,2200.7,"No"
"1117","No",38,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",24.25,914.4,"No"
"1118","No",52,"Yes","Yes","Fiber optic","No","No","Yes","No","Two year",89.45,4577.75,"No"
"1119","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",105.25,4997.5,"No"
"1120","Yes",70,"No","No phone service","DSL","Yes","No","Yes","Yes","Two year",59.5,4144.8,"No"
"1121","No",20,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.55,1493.55,"No"
"1122","No",50,"Yes","Yes","DSL","Yes","No","Yes","Yes","One year",82.5,4179.1,"No"
"1123","No",19,"No","No phone service","DSL","No","No","No","No","One year",44.85,893.55,"Yes"
"1124","Yes",25,"Yes","No","DSL","Yes","Yes","Yes","No","One year",61.6,1611,"No"
"1125","No",12,"Yes","No","DSL","No","Yes","No","No","Month-to-month",49.05,593.05,"No"
"1126","Yes",39,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",105.65,4284.8,"Yes"
"1127","No",7,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",74.65,544.55,"Yes"
"1128","Yes",23,"Yes","No","DSL","Yes","Yes","Yes","Yes","One year",66.25,1533.8,"No"
"1129","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.4,529.8,"No"
